2020-06-30 17:29:09.323 [main] INFO  c.l.l.LaoalexSpringBootLoggerApplication - Starting LaoalexSpringBootLoggerApplication on DESKTOP-BGGFKUE with PID 6376 (C:\Users\hongq\IdeaProjects\spring-boot-examples\laoalex-spring-boot-logger\target\classes started by hongq in C:\Users\hongq\IdeaProjects\spring-boot-examples)
2020-06-30 17:29:09.327 [main] INFO  c.l.l.LaoalexSpringBootLoggerApplication - No active profile set, falling back to default profiles: default
2020-06-30 17:29:11.328 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-06-30 17:29:11.343 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-06-30 17:29:11.344 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-06-30 17:29:11.345 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.35]
2020-06-30 17:29:11.656 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-06-30 17:29:11.657 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2241 ms
2020-06-30 17:29:11.865 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-06-30 17:29:12.107 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-06-30 17:29:12.153 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-06-30 17:29:12.180 [main] INFO  c.l.l.LaoalexSpringBootLoggerApplication - Started LaoalexSpringBootLoggerApplication in 3.399 seconds (JVM running for 4.93)
